cluster,cluster_num,n_drugs,example_drugs,top_up_pathways,top_down_pathways,mean_membership_score
Cluster_1,1,11,6-Mercaptopurine;Abemaciclib (methanesulfonate);Benzamil (hydrochloride);Erlotinib (Hydrochloride);Etravirine;Lonafarnib;Mobocertinib (succinate);Neratinib;Olmutinib;Remdesivir,AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE;KERATINOCYTE_DIFFERENTIATION;NEUTRAL_AMINO_ACID_TRANSPORT;AMINO_ACID_TRANSMEMBRANE_TRANSPORT;L_ALPHA_AMINO_ACID_TRANSMEMBRANE_TRANSPORT;EPIDERMAL_CELL_DIFFERENTIATION;L_AMINO_ACID_TRANSPORT;ORGANIC_ANION_TRANSPORT;MEMBRANE_PROTEIN_PROTEOLYSIS;TISSUE_REMODELING,REGULATION_OF_NUCLEAR_DIVISION;REGULATION_OF_MITOTIC_NUCLEAR_DIVISION;MITOTIC_SISTER_CHROMATID_SEPARATION;REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION;NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION;REGULATION_OF_SISTER_CHROMATID_SEGREGATION;CHROMOSOME_SEPARATION;MEIOSIS_I_CELL_CYCLE_PROCESS;MEIOTIC_CELL_CYCLE_PROCESS;REGULATION_OF_CHROMOSOME_SEGREGATION,0.590815418572759
Cluster_2,2,29,Alcaftadine;Amisulpride;Aniracetam;Atazanavir (sulfate);Atorvastatin (hemicalcium salt);Betamethasone disodium phosphate;Budesonide;Butylphthalide;Camphor;Daprodustat,HOMOPHILIC_CELL_CELL_ADHESION;LIPOPROTEIN_METABOLIC_PROCESS;OSTEOCLAST_DIFFERENTIATION;REGULATION_OF_LIPID_CATABOLIC_PROCESS;STEROL_METABOLIC_PROCESS;STEROID_BIOSYNTHETIC_PROCESS;STEROID_METABOLIC_PROCESS;STEROL_BIOSYNTHETIC_PROCESS;MEMBRANE_PROTEIN_PROTEOLYSIS;ALCOHOL_METABOLIC_PROCESS,RNA_SPLICING;RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS;NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS;RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS;RRNA_PROCESSING;MATURATION_OF_SSU_RRNA;MRNA_PROCESSING;RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS;NEGATIVE_REGULATION_OF_MRNA_PROCESSING;RIBOSOME_BIOGENESIS,0.6114160843082045
Cluster_3,3,7,Baicalein;Binimetinib;Fluticasone furoate;Loratadine;Oteseconazole;Simvastatin acid (ammonium);Tucidinostat,MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS;ORGANIC_ACID_CATABOLIC_PROCESS;FATTY_ACID_CATABOLIC_PROCESS;FATTY_ACID_METABOLIC_PROCESS;LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS;MONOCARBOXYLIC_ACID_METABOLIC_PROCESS;LIPID_CATABOLIC_PROCESS;MONOCARBOXYLIC_ACID_TRANSPORT;LIPID_HOMEOSTASIS;FATTY_ACID_TRANSPORT,CHROMOSOME_SEGREGATION;POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS;REGULATION_OF_MITOTIC_NUCLEAR_DIVISION;NUCLEAR_CHROMOSOME_SEGREGATION;REGULATION_OF_NUCLEAR_DIVISION;MEIOSIS_I_CELL_CYCLE_PROCESS;MITOTIC_SISTER_CHROMATID_SEGREGATION;SISTER_CHROMATID_SEGREGATION;MITOTIC_NUCLEAR_DIVISION;POSITIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION,0.46273769679954446
Cluster_4,4,8,Acetophenazine (dimaleate);Asciminib;Azelastine (hydrochloride);Masoprocol;Nordihydroguaiaretic acid;Pirlindole;Procyclidine (hydrochloride);Umbralisib,STEROL_METABOLIC_PROCESS;STEROL_BIOSYNTHETIC_PROCESS;LIPOPROTEIN_METABOLIC_PROCESS;STEROID_METABOLIC_PROCESS;ALCOHOL_METABOLIC_PROCESS;STEROID_BIOSYNTHETIC_PROCESS;LIPID_LOCALIZATION;ALCOHOL_BIOSYNTHETIC_PROCESS;PROTEIN_CONTAINING_COMPLEX_REMODELING;ISOPRENOID_METABOLIC_PROCESS,RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS;RNA_SPLICING;RRNA_PROCESSING;RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS;MATURATION_OF_SSU_RRNA;NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION;INTERMEDIATE_FILAMENT_ORGANIZATION;RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS;MRNA_PROCESSING;REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,0.37579443279380775
Cluster_5,5,55,ATP (dimagnesium);Adiphenine (hydrochloride);Almotriptan (malate);Amcinonide;Andrographolide;Antipyrine;Azatadine (dimaleate);Balsalazide;Belzutifan;Bepotastine,HOMOPHILIC_CELL_CELL_ADHESION;MAMMARY_GLAND_MORPHOGENESIS;EPIDERMIS_DEVELOPMENT;OSTEOCLAST_DIFFERENTIATION;MUSCLE_CELL_MIGRATION;SMOOTH_MUSCLE_CELL_MIGRATION;LIPID_LOCALIZATION;AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE;SPLICEOSOMAL_COMPLEX_ASSEMBLY;EPIDERMAL_CELL_DIFFERENTIATION,INTERMEDIATE_FILAMENT_ORGANIZATION;INTERMEDIATE_FILAMENT_BASED_PROCESS;NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS;RNA_SPLICING;NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION;RRNA_PROCESSING;RIBOSOME_BIOGENESIS;MATURATION_OF_SSU_RRNA;REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION;RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,0.8587949447856016
Cluster_6,6,16,Anamorelin;Antazoline (hydrochloride);Betamethasone valerate;Chloropyramine hydrochloride;Ciclesonide;Diphenhydramine (hydrochloride);Fexofenadine (hydrochloride);Idelalisib;Ifenprodil (tartrate);Imiquimod (maleate),HOMOPHILIC_CELL_CELL_ADHESION;CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS;OSTEOCLAST_DIFFERENTIATION;STEROL_METABOLIC_PROCESS;PLASMA_LIPOPROTEIN_PARTICLE_CLEARANCE;GLYCEROLIPID_CATABOLIC_PROCESS;ALCOHOL_METABOLIC_PROCESS;NEURON_PROJECTION_GUIDANCE;SMOOTH_MUSCLE_CELL_MIGRATION;SMALL_MOLECULE_CATABOLIC_PROCESS,RNA_SPLICING;RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS;RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS;RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS;NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS;MATURATION_OF_SSU_RRNA;MRNA_PROCESSING;RRNA_PROCESSING;NEGATIVE_REGULATION_OF_MRNA_PROCESSING;RIBOSOME_BIOGENESIS,0.5277963546218629
Cluster_7,7,7,Amodiaquine (dihydrochloride);Chlorpropamide;Enclomiphene (citrate);Flumatinib;Lapatinib (ditosylate);Nitazoxanide;Tenapanor (hydrochloride),STEROL_METABOLIC_PROCESS;STEROL_BIOSYNTHETIC_PROCESS;ORGANIC_ANION_TRANSPORT;LIPOPROTEIN_METABOLIC_PROCESS;ORGANIC_ACID_TRANSPORT;LIPID_HOMEOSTASIS;LIPID_LOCALIZATION;IMPORT_ACROSS_PLASMA_MEMBRANE;STEROL_TRANSPORT;STEROID_METABOLIC_PROCESS,MITOTIC_SISTER_CHROMATID_SEGREGATION;CHROMOSOME_SEGREGATION;NUCLEAR_CHROMOSOME_SEGREGATION;SISTER_CHROMATID_SEGREGATION;POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS;ORGANELLE_FISSION;MEIOSIS_I_CELL_CYCLE_PROCESS;REGULATION_OF_NUCLEAR_DIVISION;MITOTIC_NUCLEAR_DIVISION;MEIOTIC_CELL_CYCLE_PROCESS,0.6958087244665346
Cluster_8,8,12,Ambroxol;Deflazacort;Icotinib;L-5-Hydroxytryptophan;Liarozole;Lobeline (hydrochloride);Paritaprevir;Savolitinib;Tinoridine (hydrochloride);Varenicline (Hydrochloride),HOMOPHILIC_CELL_CELL_ADHESION;OSTEOCLAST_DIFFERENTIATION;SMOOTH_MUSCLE_CELL_MIGRATION;OLEFINIC_COMPOUND_METABOLIC_PROCESS;MUSCLE_CELL_MIGRATION;TISSUE_REMODELING;MAMMARY_GLAND_MORPHOGENESIS;STEROL_METABOLIC_PROCESS;STEROID_BIOSYNTHETIC_PROCESS;LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,RNA_SPLICING;RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS;REGULATION_OF_MRNA_PROCESSING;MRNA_PROCESSING;NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS;INTERMEDIATE_FILAMENT_ORGANIZATION;REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME;INTERMEDIATE_FILAMENT_BASED_PROCESS;NEGATIVE_REGULATION_OF_MRNA_PROCESSING;REGULATION_OF_RNA_SPLICING,0.49202399812834186
Cluster_9,9,7,Amiodarone (hydrochloride);Benztropine (mesylate);Cobicistat;Desloratadine;Haloperidol;Mifepristone;Saquinavir (mesylate),STEROL_METABOLIC_PROCESS;LIPID_HOMEOSTASIS;LIPID_LOCALIZATION;ORGANIC_ACID_TRANSPORT;VASCULAR_TRANSPORT;IMPORT_ACROSS_PLASMA_MEMBRANE;OUTFLOW_TRACT_MORPHOGENESIS;ORGANIC_ANION_TRANSPORT;GLYCEROLIPID_CATABOLIC_PROCESS;AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE,RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS;RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS;RIBOSOME_BIOGENESIS;RRNA_PROCESSING;NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION;CYTOPLASMIC_TRANSLATION;CHROMOSOME_SEGREGATION;NUCLEAR_CHROMOSOME_SEGREGATION;RRNA_METABOLIC_PROCESS;PROTEIN_LOCALIZATION_TO_CHROMOSOME,0.5318020186783309
Cluster_10,10,7,Cabazitaxel;Clomiphene (citrate);DFO;Mefloquine (hydrochloride);Mometasone;Tucatinib;Vemurafenib,KERATINOCYTE_DIFFERENTIATION;EPIDERMAL_CELL_DIFFERENTIATION;TISSUE_REMODELING;INTERMEDIATE_FILAMENT_ORGANIZATION;SKIN_DEVELOPMENT;INTERMEDIATE_FILAMENT_BASED_PROCESS;SMOOTH_MUSCLE_CELL_MIGRATION;MAMMARY_GLAND_MORPHOGENESIS;STEROL_BIOSYNTHETIC_PROCESS;OSTEOCLAST_DIFFERENTIATION,REGULATION_OF_MITOTIC_NUCLEAR_DIVISION;REGULATION_OF_SISTER_CHROMATID_SEGREGATION;NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION;MEIOSIS_I_CELL_CYCLE_PROCESS;MEIOTIC_CELL_CYCLE_PROCESS;DNA_TEMPLATED_DNA_REPLICATION;POSITIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION;REGULATION_OF_NUCLEAR_DIVISION;CHROMOSOME_SEPARATION;MITOTIC_SISTER_CHROMATID_SEPARATION,0.2611022312010604
