Term,ES,NES,FDR,drug
HYPOXIA,0.5324303173349283,1.9668728735919263,0.0040580948312686,Ambroxol
KRAS_SIGNALING_DN,0.6068106553555577,1.8209466774730585,0.0128506336323508,Ambroxol
INTERFERON_GAMMA_RESPONSE,0.4882401877419677,1.7484563356872045,0.0198395747306469,Ambroxol
GLYCOLYSIS,0.4466677383178619,1.7321088219248038,0.0185996013099814,Ambroxol
INTERFERON_ALPHA_RESPONSE,0.5223507521471561,1.6681236197840583,0.0316531396838957,Ambroxol
INFLAMMATORY_RESPONSE,0.5092986996233121,1.654601099901513,0.0313375100859082,Ambroxol
XENOBIOTIC_METABOLISM,0.4330931939458204,1.649313566782953,0.0285999064298936,Ambroxol
FATTY_ACID_METABOLISM,0.4304864423937271,1.6095912202191478,0.0366919407660543,Ambroxol
TNFA_SIGNALING_VIA_NFKB,0.4467828459900508,1.5883041493739642,0.0389276504184663,Ambroxol
ALLOGRAFT_REJECTION,0.453929979828338,1.545104965471472,0.0520788836679481,Ambroxol
ESTROGEN_RESPONSE_LATE,0.4227658115056715,1.53983101001291,0.0494349733990912,Ambroxol
CHOLESTEROL_HOMEOSTASIS,0.4624411960244035,1.539513459233424,0.0455408419953486,Ambroxol
MTORC1_SIGNALING,0.376646042787259,1.476994893864941,0.0696119344133013,Ambroxol
APICAL_JUNCTION,0.4033056189829586,1.4519203110434928,0.0800990622648034,Ambroxol
KRAS_SIGNALING_UP,0.4213055969392886,1.403309776426679,0.1119132374578765,Ambroxol
ESTROGEN_RESPONSE_EARLY,0.3772482167148903,1.3749324036270645,0.1281681617542361,Ambroxol
MYOGENESIS,0.3967145745507908,1.3710772825969992,0.1249256644135655,Ambroxol
IL6_JAK_STAT3_SIGNALING,0.4588621226278765,1.3622834855284272,0.1265524388121569,Ambroxol
EPITHELIAL_MESENCHYMAL_TRANSITION,0.374975820856578,1.3119963139955295,0.1715790972518866,Ambroxol
APOPTOSIS,0.3662754414306353,1.3022648230581262,0.1736188238644454,Ambroxol
PROTEIN_SECRETION,0.3682500458761714,1.2921943667596545,0.1775899595207583,Ambroxol
COAGULATION,0.3514165342605466,1.162557477363728,0.3704548690665734,Ambroxol
PI3K_AKT_MTOR_SIGNALING,0.3272288326596506,1.1356259501066603,0.4073974332782348,Ambroxol
ADIPOGENESIS,0.2945653320749531,1.1292364273136262,0.4011877640134795,Ambroxol
PEROXISOME,0.3140378238860054,1.084530148840929,0.4799373487113768,Ambroxol
OXIDATIVE_PHOSPHORYLATION,0.2659359407394484,1.0592136357856288,0.5180314132684913,Ambroxol
E2F_TARGETS,-0.2557382245892677,-1.0389225296059916,1.0,Ambroxol
HEME_METABOLISM,0.2765773327339311,1.0280888849642085,0.5677324768881085,Ambroxol
P53_PATHWAY,0.274584705577171,1.0209714499274836,0.5651380159069181,Ambroxol
WNT_BETA_CATENIN_SIGNALING,0.3754103428580391,1.0065024274006815,0.5782551910717003,Ambroxol
IL2_STAT5_SIGNALING,-0.2669452578531333,-0.969342516260716,1.0,Ambroxol
UV_RESPONSE_UP,-0.2603744844564474,-0.9670914166533212,1.0,Ambroxol
REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.3092670249479517,-0.9504612136921894,1.0,Ambroxol
ANGIOGENESIS,-0.3587545658622704,-0.9224889952791476,1.0,Ambroxol
ANDROGEN_RESPONSE,0.2703004017896469,0.9117127119337995,0.7961080260097774,Ambroxol
UV_RESPONSE_DN,0.2570879730870645,0.9044725457155876,0.7880558349754034,Ambroxol
COMPLEMENT,0.2476221865288735,0.902587569303452,0.7678676313541222,Ambroxol
NOTCH_SIGNALING,0.3633477133871323,0.889096328390474,0.7782933996090766,Ambroxol
BILE_ACID_METABOLISM,-0.2530544498583457,-0.8642045485204642,1.0,Ambroxol
SPERMATOGENESIS,0.2730593500515875,0.861961858489269,0.8132501612349339,Ambroxol
TGF_BETA_SIGNALING,-0.2852107869740132,-0.8609504058357901,1.0,Ambroxol
DNA_REPAIR,0.2260154555982475,0.8401385929664527,0.8336099753869938,Ambroxol
G2M_CHECKPOINT,-0.2052997304891529,-0.8262208443273716,1.0,Ambroxol
APICAL_SURFACE,0.3025622712979561,0.7919387169652748,0.8930063125919597,Ambroxol
HEDGEHOG_SIGNALING,0.3076819973082241,0.7214567610017922,0.9515318394002716,Ambroxol
MYC_TARGETS_V1,-0.1651908004759452,-0.6821162588908657,1.0,Ambroxol
MITOTIC_SPINDLE,0.1750439736835073,0.6781557573180602,0.9554677488252884,Ambroxol
PANCREAS_BETA_CELLS,-0.2800413174496369,-0.6708946470546452,1.0,Ambroxol
UNFOLDED_PROTEIN_RESPONSE,-0.1690394224884443,-0.6321830428666814,1.0,Ambroxol
MYC_TARGETS_V2,-0.1686643068258568,-0.5629457415695625,0.9923772138031768,Ambroxol
